step,resstock-amy2018-2021-release-1-6887,resstock-amy2018-2021-release-1-123182,resstock-amy2018-2021-release-1-155572,resstock-amy2018-2021-release-1-20687,resstock-amy2018-2021-release-1-21356,resstock-amy2018-2021-release-1-223548,resstock-amy2018-2021-release-1-237652,resstock-amy2018-2021-release-1-249373,resstock-amy2018-2021-release-1-276878,resstock-amy2018-2021-release-1-283562,resstock-amy2018-2021-release-1-284099,resstock-amy2018-2021-release-1-290742,resstock-amy2018-2021-release-1-304920,resstock-amy2018-2021-release-1-321547,resstock-amy2018-2021-release-1-346066,resstock-amy2018-2021-release-1-394712,resstock-amy2018-2021-release-1-406573,resstock-amy2018-2021-release-1-412815,resstock-amy2018-2021-release-1-46421,resstock-amy2018-2021-release-1-471221,resstock-amy2018-2021-release-1-474782,resstock-amy2018-2021-release-1-494842,resstock-amy2018-2021-release-1-519975,resstock-amy2018-2021-release-1-92392,resstock-amy2018-2021-release-1-97045
0,2.0120720863342285,1.0085809230804443,1.3824949264526367,1.191413402557373,3.445262908935547,3.6454434394836426,1.157738447189331,1.165810227394104,0.6070263981819153,1.6081023216247559,0.5855785608291626,2.2300875186920166,1.3279366493225098,1.589626669883728,2.358957052230835,1.7836545705795288,1.6128720045089722,0.7012996673583984,0.9256352782249451,0.7040631771087646,0.8270893096923828,2.7585623264312744,2.519711971282959,1.3517615795135498,0.6332372426986694
1,2.3855180740356445,1.2247530221939087,1.4709391593933105,1.5829708576202393,1.346618890762329,3.888451337814331,1.3172197341918945,1.1844074726104736,0.8022838830947876,1.7846027612686157,0.6896029710769653,2.04726505279541,1.3390201330184937,1.890135407447815,1.921895980834961,1.947035312652588,1.7807092666625977,0.6510623693466187,0.481266587972641,0.7876697778701782,0.992184042930603,2.9079952239990234,2.5787038803100586,1.6512874364852905,0.7887218594551086
2,2.583127498626709,1.2391202449798584,1.223552942276001,5.413374423980713,1.398190975189209,3.8084540367126465,1.2553924322128296,1.1752883195877075,1.1179780960083008,1.7023431062698364,0.6348380446434021,1.8459007740020752,1.2182631492614746,1.4830801486968994,3.13211727142334,2.0298638343811035,1.7979520559310913,0.6969583034515381,0.693835973739624,0.8095163702964783,1.0602514743804932,3.0155155658721924,2.66597843170166,1.8027570247650146,0.7437616586685181
3,1.966470718383789,1.0771845579147339,0.5903663039207458,-0.1212201714515686,1.2177032232284546,3.209472179412842,1.0542049407958984,0.9764831066131592,0.8222553730010986,1.324714183807373,0.5289977192878723,1.0667226314544678,0.9368631839752197,0.9813077449798584,1.1417577266693115,1.9170868396759033,1.5188093185424805,0.4603729844093323,0.6132653951644897,0.7550718784332275,0.9654839038848877,2.7927322387695312,1.0390409231185913,1.731773018836975,1.5685032606124878
4,3.9736971855163574,0.8028744459152222,0.14205652475357056,1.3072034120559692,2.132248878479004,3.058804512023926,1.3758935928344727,0.8464444279670715,0.5665754079818726,1.0441646575927734,0.4720083475112915,0.6711686849594116,0.6958657503128052,0.6436069011688232,1.3206737041473389,2.484959125518799,1.8392045497894287,1.2185643911361694,0.5398641228675842,0.6947848796844482,0.9569787383079529,3.6395325660705566,0.874173641204834,1.6770520210266113,0.5143992900848389
5,-0.9082913398742676,0.7126298546791077,-0.4805936813354492,0.6304670572280884,2.075544834136963,2.1753883361816406,5.048193454742432,0.6794494390487671,-0.08258721232414246,0.6917936205863953,0.44934186339378357,0.4637359380722046,0.2339247614145279,0.04003304988145828,4.11118745803833,8.107880592346191,6.028541088104248,-0.3379424214363098,0.3775099217891693,0.6686959862709045,1.33530592918396,1.762835144996643,-0.2339450567960739,1.9542728662490845,0.7820788025856018
6,0.7855947017669678,-0.28495684266090393,0.09818127751350403,1.0909085273742676,1.7310206890106201,1.6324084997177124,-2.187946319580078,0.8214292526245117,-0.061939626932144165,0.7795550227165222,0.03583233058452606,0.4792187213897705,0.32374686002731323,-0.2617621421813965,0.9667564630508423,1.2281156778335571,-2.1677491664886475,0.4512593448162079,0.23320727050304413,0.8641722798347473,-0.2092987596988678,0.8058704733848572,-0.03971758484840393,1.3859007358551025,1.050456166267395
7,0.7328880429267883,-0.29137110710144043,-0.06991946697235107,0.26528334617614746,0.7012399435043335,1.0241183042526245,1.3840117454528809,-0.7748841643333435,-0.47753673791885376,-0.2279965877532959,-0.4103698134422302,3.3075757026672363,-0.07328414916992188,2.8751397132873535,-0.11708462238311768,11.839052200317383,3.912761926651001,-0.1278476119041443,0.03370356559753418,0.297480046749115,-0.5081311464309692,2.3477206230163574,1.576558232307434,1.377178430557251,-0.24679359793663025
8,0.1799459457397461,0.18936693668365479,-0.5670856237411499,0.19911646842956543,0.23006987571716309,0.2811400890350342,-0.385287344455719,-0.5775250792503357,-0.7057169675827026,-0.27409493923187256,-0.14751410484313965,-0.4737027883529663,-0.29349708557128906,-0.44957274198532104,0.21201205253601074,-3.9762303829193115,-1.8931068181991577,-0.25430238246917725,-0.19618207216262817,0.17349469661712646,0.08396536111831665,3.4306752681732178,-0.3959916830062866,-0.312746524810791,-0.05438196659088135
9,0.6830089092254639,-0.2865028381347656,0.9720287322998047,-0.24313592910766602,-0.8481330871582031,2.7415215969085693,-0.43846452236175537,0.3379554748535156,-0.7084906101226807,0.28447866439819336,1.2109211683273315,-0.4213101863861084,0.7973170280456543,-1.0704530477523804,0.24639129638671875,1.5982229709625244,2.0254061222076416,0.961496114730835,0.06952917575836182,0.7427158355712891,-0.24401402473449707,0.6796455383300781,1.5305688381195068,0.8803844451904297,-0.5168226957321167
