step,portfolio_net,district_target
0,51.19293349981308,23.366495531833333
1,53.15471452474594,23.366495531833333
2,58.79632246494293,23.366495531833333
3,42.745512664318085,23.366495531833333
4,43.16874074935913,23.366495531833333
5,41.94577367603779,23.366495531833333
6,11.941221132874489,23.366495531833333
7,23.058644652366638,23.366495531833333
8,-14.152554392814636,23.366495531833333
9,4.201507091522217,23.366495531833333
10,7.55942702293396,23.366495531833333
11,13.07821249961853,23.366495531833333
12,13.962530374526978,23.366495531833333
13,4.000923991203308,23.366495531833333
14,32.2672621011734,23.366495531833333
15,46.12965404987335,23.366495531833333
16,40.36012381315231,23.366495531833333
17,39.42469274997711,23.366495531833333
18,41.99338852614164,23.366495531833333
19,-0.5021420121192932,23.366495531833333
20,-1.9093839526176453,23.366495531833333
21,7.2189944088459015,23.366495531833333
22,16.100441724061966,23.366495531833333
23,35.13002449274063,23.366495531833333
24,35.64595353603363,21.376344425041665
25,35.70453488826752,21.376344425041665
26,23.98998399078846,21.376344425041665
27,33.579720348119736,21.376344425041665
28,23.016302525997162,21.376344425041665
29,30.09007652103901,21.376344425041665
30,13.660531252622604,21.376344425041665
31,18.876540511846542,21.376344425041665
32,36.825363874435425,21.376344425041665
33,5.326720714569092,21.376344425041665
34,19.093098282814026,21.376344425041665
35,19.34672212600708,21.376344425041665
36,3.663139581680298,21.376344425041665
37,18.12821352481842,21.376344425041665
38,22.291152834892273,21.376344425041665
39,20.85593545436859,21.376344425041665
40,47.955469846725464,21.376344425041665
41,45.92007288336754,21.376344425041665
42,28.402390033006668,21.376344425041665
43,6.869868278503418,21.376344425041665
44,13.156841218471527,21.376344425041665
45,-3.4619903564453125,21.376344425041665
46,20.97456192970276,21.376344425041665
47,25.16103494167328,21.376344425041665
48,29.540750473737717,20.970357171958334
49,22.89559857547283,20.970357171958334
50,34.18187965452671,20.970357171958334
51,30.98809477686882,20.970357171958334
52,35.6853491961956,20.970357171958334
53,17.442103289067745,20.970357171958334
54,25.378703087568283,20.970357171958334
55,38.73965921998024,20.970357171958334
56,46.05060398578644,20.970357171958334
57,52.54364114999771,20.970357171958334
58,22.51878798007965,20.970357171958334
59,14.502894043922424,20.970357171958334
60,1.5414173603057861,20.970357171958334
61,11.357516765594482,20.970357171958334
62,19.411763668060303,20.970357171958334
63,19.593786001205444,20.970357171958334
64,46.40678757429123,20.970357171958334
65,42.671323984861374,20.970357171958334
66,18.33341173455119,20.970357171958334
67,5.93309810757637,20.970357171958334
68,-2.2581674456596375,20.970357171958334
69,11.285257339477539,20.970357171958334
70,13.553718090057373,20.970357171958334
71,45.13177502155304,20.970357171958334
72,41.45569038391113,20.546499519416667
73,42.44315069913864,20.546499519416667
74,35.68180188536644,20.546499519416667
75,39.520271092653275,20.546499519416667
76,20.408349931240082,20.546499519416667
77,11.407039023935795,20.546499519416667
78,24.440127313137054,20.546499519416667
79,5.685524225234985,20.546499519416667
80,32.216653525829315,20.546499519416667
81,1.2625028491020203,20.546499519416667
82,8.043685793876648,20.546499519416667
83,22.1241534948349,20.546499519416667
84,23.242656707763672,20.546499519416667
85,-4.663316786289215,20.546499519416667
86,35.11109447479248,20.546499519416667
87,62.61006307601929,20.546499519416667
88,50.66212332248688,20.546499519416667
89,43.92798459529877,20.546499519416667
90,27.7868764847517,20.546499519416667
91,18.354991018772125,20.546499519416667
92,12.375779747962952,20.546499519416667
93,-2.9743945598602295,20.546499519416667
94,14.72934290766716,20.546499519416667
95,22.667055010795593,20.546499519416667
96,27.206189677119255,18.29192900458333
97,28.46951511502266,18.29192900458333
98,22.38611362874508,18.29192900458333
99,29.26757638156414,18.29192900458333
100,36.66619683802128,18.29192900458333
101,-1.2649519965052605,18.29192900458333
102,14.158144548535347,18.29192900458333
103,5.816104352474213,18.29192900458333
104,-6.646093964576721,18.29192900458333
105,20.646884441375732,18.29192900458333
106,27.184657216072083,18.29192900458333
107,14.743282556533813,18.29192900458333
108,16.319849967956543,18.29192900458333
109,24.37358868122101,18.29192900458333
110,21.10819959640503,18.29192900458333
111,31.774852991104126,18.29192900458333
112,22.76956045627594,18.29192900458333
113,37.03345116972923,18.29192900458333
114,30.141489520668983,18.29192900458333
115,-1.654684841632843,18.29192900458333
116,-3.00279438495636,18.29192900458333
117,-3.698823422193527,18.29192900458333
118,12.912000834941864,18.29192900458333
119,22.784436032176018,18.29192900458333
120,26.404190808534622,20.032670547625
121,34.30538693070412,20.032670547625
122,34.78797644376755,20.032670547625
123,24.259192496538162,20.032670547625
124,28.239078044891357,20.032670547625
125,10.534912794828415,20.032670547625
126,22.03673242032528,20.032670547625
127,24.6743203997612,20.032670547625
128,14.518351316452026,20.032670547625
129,3.83543062210083,20.032670547625
130,6.720212817192078,20.032670547625
131,23.890942335128784,20.032670547625
132,15.20639443397522,20.032670547625
133,34.21867644786835,20.032670547625
134,11.923408269882202,20.032670547625
135,29.27166771888733,20.032670547625
136,65.47868430614471,20.032670547625
137,49.93649199604988,20.032670547625
138,73.62319493293762,20.032670547625
139,30.923369824886322,20.032670547625
140,6.091666281223297,20.032670547625
141,-19.070794314146042,20.032670547625
142,-5.687155038118362,20.032670547625
143,18.29054147005081,20.032670547625
144,27.732711493968964,20.356232952958333
145,29.477097064256668,20.356232952958333
146,35.93587762117386,20.356232952958333
147,29.428283780813217,20.356232952958333
148,40.93249133229256,20.356232952958333
149,3.5716229751706123,20.356232952958333
150,15.017430871725082,20.356232952958333
151,5.136798530817032,20.356232952958333
152,33.485711455345154,20.356232952958333
153,14.469813346862793,20.356232952958333
154,9.684816718101501,20.356232952958333
155,4.912593722343445,20.356232952958333
156,26.24617612361908,20.356232952958333
157,14.63114070892334,20.356232952958333
158,25.32706892490387,20.356232952958333
159,30.076586186885834,20.356232952958333
160,52.3510981798172,20.356232952958333
161,42.79611483216286,20.356232952958333
162,41.027278527617455,20.356232952958333
163,0.376858651638031,20.356232952958333
164,-2.7525742053985596,20.356232952958333
165,-10.485790967941284,20.356232952958333
166,-2.736907050013542,20.356232952958333
167,31.3442685008049,20.356232952958333
168,18.310057163238525,20.219627830125
169,26.07761549949646,20.219627830125
170,33.04927346110344,20.219627830125
171,30.256283581256866,20.219627830125
172,27.68548233807087,20.219627830125
173,15.830078668892384,20.219627830125
174,4.976870104670525,20.219627830125
175,24.438470274209976,20.219627830125
176,-6.394961059093475,20.219627830125
177,9.644784688949585,20.219627830125
178,44.09610867500305,20.219627830125
179,15.347434878349304,20.219627830125
180,41.45028042793274,20.219627830125
181,16.962682962417603,20.219627830125
182,22.037185072898865,20.219627830125
183,35.76544415950775,20.219627830125
184,42.250209748744965,20.219627830125
185,51.14547696709633,20.219627830125
186,14.860924392938614,20.219627830125
187,5.430505007505417,20.219627830125
188,-13.15200287103653,20.219627830125
189,-1.7357236742973328,20.219627830125
190,18.00163558125496,20.219627830125
191,16.592777997255325,20.219627830125
192,27.16826730966568,18.58339701122084
193,31.178275674581528,18.58339701122084
194,28.099338948726654,18.58339701122084
195,31.06807190179825,18.58339701122084
196,31.8125668913126,18.58339701122084
197,24.3024855107069,18.58339701122084
198,17.88184055685997,18.58339701122084
