step,portfolio_net,district_target
0,45.9552845954895,23.366495531833333
1,43.127657890319824,23.366495531833333
2,49.61247491836548,23.366495531833333
3,36.57341194152832,23.366495531833333
4,38.63434964418411,23.366495531833333
5,41.04957689344883,23.366495531833333
6,22.64678692817688,23.366495531833333
7,28.578761637210846,23.366495531833333
8,-3.492422044277191,23.366495531833333
9,8.347269237041473,23.366495531833333
10,3.465154528617859,23.366495531833333
11,9.418291687965393,23.366495531833333
12,11.024498343467712,23.366495531833333
13,-0.41997992992401123,23.366495531833333
14,18.428452134132385,23.366495531833333
15,42.81693720817566,23.366495531833333
16,39.25179988145828,23.366495531833333
17,41.82433311641216,23.366495531833333
18,46.14356356859207,23.366495531833333
19,4.93951028585434,23.366495531833333
20,5.449386477470398,23.366495531833333
21,4.326716363430023,23.366495531833333
22,9.398532748222351,23.366495531833333
23,21.570344626903534,23.366495531833333
24,24.328453361988068,21.376344425041665
25,25.082927525043488,21.376344425041665
26,25.042697966098785,21.376344425041665
27,25.774198800325394,21.376344425041665
28,34.90428122878075,21.376344425041665
29,30.484890401363373,21.376344425041665
30,29.48760461807251,21.376344425041665
31,20.200016766786575,21.376344425041665
32,13.778668880462646,21.376344425041665
33,-7.654677152633667,21.376344425041665
34,16.452093362808228,21.376344425041665
35,24.74903893470764,21.376344425041665
36,2.9510961771011353,21.376344425041665
37,6.879897594451904,21.376344425041665
38,26.202609062194824,21.376344425041665
39,19.333481907844543,21.376344425041665
40,38.274330615997314,21.376344425041665
41,43.331536412239075,21.376344425041665
42,29.168594667688012,21.376344425041665
43,18.64752858877182,21.376344425041665
44,17.686257123947144,21.376344425041665
45,9.979861736297607,21.376344425041665
46,12.617401868104935,21.376344425041665
47,13.030335247516632,21.376344425041665
48,21.60368686914444,20.970357171958334
49,23.82017958164215,20.970357171958334
50,27.444410055875778,20.970357171958334
51,26.67460471391678,20.970357171958334
52,28.078439354896545,20.970357171958334
53,28.69040397554636,20.970357171958334
54,32.31347778439522,20.970357171958334
55,41.474205493927,20.970357171958334
56,12.348938584327698,20.970357171958334
57,-2.624784827232361,20.970357171958334
58,7.419888496398926,20.970357171958334
59,23.431992173194885,20.970357171958334
60,23.787564158439636,20.970357171958334
61,16.745103240013123,20.970357171958334
62,27.87154221534729,20.970357171958334
63,19.63282835483551,20.970357171958334
64,33.557357609272,20.970357171958334
65,40.5577097684145,20.970357171958334
66,16.819994010031223,20.970357171958334
67,4.94209885597229,20.970357171958334
68,10.568139851093292,20.970357171958334
69,8.560799598693848,20.970357171958334
70,8.590117514133453,20.970357171958334
71,21.79747873544693,20.970357171958334
72,24.390359461307526,20.546499519416667
73,29.149387031793594,20.546499519416667
74,32.50884598493576,20.546499519416667
75,34.918506413698196,20.546499519416667
76,27.610077261924744,20.546499519416667
77,15.252107322216034,20.546499519416667
78,27.542850732803345,20.546499519416667
79,21.954599261283875,20.546499519416667
80,42.8538493514061,20.546499519416667
81,20.01127940416336,20.546499519416667
82,55.5589200258255,20.546499519416667
83,15.555201441049576,20.546499519416667
84,33.980952858924866,20.546499519416667
85,0.6754893660545349,20.546499519416667
86,28.67717671394348,20.546499519416667
87,45.3063086271286,20.546499519416667
88,37.02398657798767,20.546499519416667
89,39.52092358469963,20.546499519416667
90,20.971731957048178,20.546499519416667
91,8.894329965114594,20.546499519416667
92,9.149770498275757,20.546499519416667
93,-1.4907131791114807,20.546499519416667
94,7.907358169555664,20.546499519416667
95,13.712300658226013,20.546499519416667
96,17.81422245502472,18.29192900458333
97,19.983685225248337,18.29192900458333
98,22.89661505818367,18.29192900458333
99,21.609553337097168,18.29192900458333
100,34.09684717655182,18.29192900458333
101,13.737966053187847,18.29192900458333
102,17.73002716898918,18.29192900458333
103,7.3200843334198,18.29192900458333
104,13.715673208236694,18.29192900458333
105,24.447617053985596,18.29192900458333
106,17.31998860836029,18.29192900458333
107,10.849493861198425,18.29192900458333
108,10.027170658111572,18.29192900458333
109,25.162960410118103,18.29192900458333
110,15.099194526672363,18.29192900458333
111,19.04123020172119,18.29192900458333
112,12.911799728870392,18.29192900458333
113,40.560667634010315,18.29192900458333
114,27.569706171751022,18.29192900458333
115,9.075897216796875,18.29192900458333
116,6.995205283164978,18.29192900458333
117,2.214060127735138,18.29192900458333
118,9.841252386569977,18.29192900458333
119,15.982769429683685,18.29192900458333
120,24.40221244096756,20.032670547625
121,27.527688920497894,20.032670547625
122,23.315824657678604,20.032670547625
123,29.28627049922943,20.032670547625
124,30.534684419631958,20.032670547625
125,28.392818212509155,20.032670547625
126,22.798437237739563,20.032670547625
127,26.289746522903442,20.032670547625
128,5.290445446968079,20.032670547625
129,0.06938695907592773,20.032670547625
130,17.15714192390442,20.032670547625
131,22.100241780281067,20.032670547625
132,8.293102741241455,20.032670547625
133,29.741857528686523,20.032670547625
134,2.475489377975464,20.032670547625
135,28.020452618598938,20.032670547625
136,45.18716734647751,20.032670547625
137,20.042030721902847,20.032670547625
138,26.097791731357574,20.032670547625
139,22.73031336069107,20.032670547625
140,8.217574179172516,20.032670547625
141,-2.849291056394577,20.032670547625
142,7.289381057024002,20.032670547625
143,13.381639152765274,20.032670547625
144,20.13662138581276,20.356232952958333
145,24.297490149736404,20.356232952958333
146,29.6259206533432,20.356232952958333
147,22.974573016166687,20.356232952958333
148,38.337079763412476,20.356232952958333
149,18.147926934063435,20.356232952958333
150,25.890160471200943,20.356232952958333
151,5.737677752971649,20.356232952958333
152,33.01897186040878,20.356232952958333
153,13.483608067035675,20.356232952958333
154,0.03082132339477539,20.356232952958333
155,1.6207034587860107,20.356232952958333
156,25.52180027961731,20.356232952958333
157,5.323913216590881,20.356232952958333
158,9.242557883262634,20.356232952958333
159,25.19318515062332,20.356232952958333
160,36.871837079524994,20.356232952958333
161,43.67948906123638,20.356232952958333
162,28.241556525230408,20.356232952958333
163,1.5246426463127136,20.356232952958333
164,2.9224685430526733,20.356232952958333
165,0.7357698678970337,20.356232952958333
166,2.526575028896332,20.356232952958333
167,19.64272913336754,20.356232952958333
168,18.96802908182144,20.219627830125
169,25.38118126988411,20.219627830125
170,27.66148069500923,20.219627830125
171,28.198878809809685,20.219627830125
172,25.11336876451969,20.219627830125
173,23.533323973417282,20.219627830125
174,15.579064592719078,20.219627830125
175,26.49887716770172,20.219627830125
176,22.6682066321373,20.219627830125
177,-10.217069506645203,20.219627830125
178,42.36100673675537,20.219627830125
179,12.511346220970154,20.219627830125
180,24.397164702415466,20.219627830125
181,18.534059524536133,20.219627830125
182,11.12409245967865,20.219627830125
183,13.27955448627472,20.219627830125
184,33.676179111003876,20.219627830125
185,46.019456684589386,20.219627830125
186,22.39116159453988,20.219627830125
187,8.578013956546783,20.219627830125
188,-4.751938700675964,20.219627830125
189,4.3308736979961395,20.219627830125
190,19.584469705820084,20.219627830125
191,11.306215584278107,20.219627830125
192,19.085153222084045,18.58339701122084
193,22.584580838680267,18.58339701122084
194,22.37911456823349,18.58339701122084
195,25.046917736530304,18.58339701122084
196,27.29865598678589,18.58339701122084
197,21.310535341501236,18.58339701122084
198,16.33960196375847,18.58339701122084
199,28.862020015716553,18.58339701122084
200,-9.778164803981781,18.58339701122084
201,19.65431034564972,18.58339701122084
202,16.12780523300171,18.58339701122084
203,7.531561851501465,18.58339701122084
204,40.90246546268463,18.58339701122084
205,44.293766140937805,18.58339701122084
206,19.439148604869843,18.58339701122084
207,37.789931893348694,18.58339701122084
208,16.519771218299866,18.58339701122084
209,13.086279198527336,18.58339701122084
210,26.492204770445824,18.58339701122084
211,2.7037433683872223,18.58339701122084
212,6.164449125528336,18.58339701122084
213,4.434939652681351,18.58339701122084
214,23.060443460941315,18.58339701122084
215,15.673542022705078,18.58339701122084
216,20.244324147701263,19.00499116935
217,26.06596612930298,19.00499116935
218,19.101744145154953,19.00499116935
219,23.703858256340027,19.00499116935
220,26.71869421005249,19.00499116935
221,25.018178895115852,19.00499116935
222,28.538942649960518,19.00499116935
223,12.946656376123428,19.00499116935
224,14.675996661186218,19.00499116935
225,5.990737795829773,19.00499116935
226,16.438948035240173,19.00499116935
